text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T15:27:49Z,FALSE,NA,947127091128098817,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",cordouchebag,740.0,TRUE,FALSE,NA,NA
"RT @FranciscoLWhite: FBI announced it won't investigate the only unsolved murder of a police officer in Baltimore's history, that of a Blac…",FALSE,0.0,NA,2017-12-30T15:24:32Z,FALSE,NA,947126263424147456,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",koolkidasaurus,1288.0,TRUE,FALSE,NA,NA
"RT @ocalapd: BEYOND THE BADGE: SERGEANT ERIC HOOPER ""My grandfather began his career in 1950 with the Baltimore Police Dept. and was in the…",FALSE,0.0,NA,2017-12-30T15:24:28Z,FALSE,NA,947126245904482306,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jrod278,3.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T15:21:01Z,FALSE,NA,947125377964609538,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_July11thh,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T15:19:47Z,FALSE,NA,947125066176827395,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rosie_Squirrel,740.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T15:13:51Z,FALSE,NA,947123573134565376,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bananarum,313.0,TRUE,FALSE,NA,NA
Baltimore police gonna Baltimore police https://t.co/2hPgLDwfQo,FALSE,0.0,NA,2017-12-30T15:12:03Z,FALSE,NA,947123119663276034,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jpegjoshua,0.0,FALSE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T15:11:50Z,FALSE,NA,947123067163115520,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tnb_ali,740.0,TRUE,FALSE,NA,NA
"RT @FranciscoLWhite: FBI announced it won't investigate the only unsolved murder of a police officer in Baltimore's history, that of a Blac…",FALSE,0.0,NA,2017-12-30T15:11:15Z,FALSE,NA,947122918072438789,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",retoocs3,1288.0,TRUE,FALSE,NA,NA
Police Release Pictures Of Storage Facility Burglars - CBS Baltimore https://t.co/g0zSUBTjd5,FALSE,0.0,NA,2017-12-30T15:11:00Z,FALSE,NA,947122859217903617,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",us_steelman,0.0,FALSE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T15:06:50Z,FALSE,NA,947121807882182656,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_iamspokenword,740.0,TRUE,FALSE,NA,NA
RT @justin_fenton: ICYMI: FBI declines to take investigation into murder of Baltimore detective who was killed one day before he was due to…,FALSE,0.0,NA,2017-12-30T15:04:46Z,FALSE,NA,947121290477035520,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hiphopsince1992,313.0,TRUE,FALSE,NA,NA
I liked a @YouTube video https://t.co/AlqzTCD3Mk Police Pursuit Ends With Crash In West Baltimore,FALSE,1.0,NA,2017-12-30T15:01:48Z,FALSE,NA,947120541588185088,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",1AudioDopeness,0.0,FALSE,FALSE,NA,NA
